txt_id;widgetid;active;translatable;nativeapptext;English;Português
TXT052;-;y;y;CSV delimiter: ;CSV delimiter: ;Delimitador de campo CSV: 
TXT053;-;y;y;CSV quote char: ;CSV quote char: ;Delimitador de texto CSV: 
TXT054;-;y;y;Selected geometries: ;Selected geometries: ;Geometrias selecionadas: 
TXT055;-;y;y;Selected geometries in OSM file need to match the following tags: ;Selected geometries in OSM file need to match the following tags: ;As geometrias selecionadas no arquivo OSM precisam ter as seguintes tags/etiquetas: 
TXT056;-;y;y;Selected keys/fields to be imported from CSV file: ;Selected keys/fields to be imported from CSV file: ;Chaves/campos selecionados para serem importados do arquivo CSV: 
TXT057;-;y;y;Selected key/field to be used as primary key to join files data: ;Selected key/field to be used as primary key to join files data: ;Chave/campo selecionado para ser usado como chave primária  para juntar dados dos arquivos: 
TXT058;-;y;y;Selected option in case of confliting keys/fields between files: ;Selected option in case of confliting keys/fields between files: ;Opção selecionada em caso de conflito de chaves/campos entre os arquivos: 
TXT059;-;y;y;Output information...;Output information...;Informações de saída…
TXT060;-;y;y;Directory with generated files: ;Directory with generated files: ;Pasta com os arquivos gerados: 
TXT061;-;y;y;OSM File with the result of appending: ;OSM File with the result of appending: ;Arquivo OSM com o resultado da anexação: 
TXT062;-;y;y;CSV File with statistics of appending: ;CSV File with statistics of appending: ;Arquivo CSV com estatística da anexação: 
TXT063;-;y;y;Log file (this one): ;Log file (this one): ;Arquivo LOG (este próprio): 
TXT064;-;y;y;Final result... ;Final result... ;Resultado final… 
TXT065;-;y;y; objects modified: ; objects modified: ; objetos modificados: 
TXT066;-;y;y; nodes, ; nodes, ; nodes, 
TXT067;-;y;y; ways and ; ways and ; ways e 
TXT068;-;y;y; relations); relations); relations)
TXT069;-;y;y;Select OSM File;Select OSM File;Selecione o arquivo OSM
TXT070;-;y;y;Select CSV File;Select CSV File;Selecione o arquivo CSV
TXT071;-;y;y;One or more errors was found at trying to use CSV File:;One or more errors was found at trying to use CSV File:\n;Um ou mais erros foram encontrados ao tentar usar o arquivo CSV:
TXT072;-;y;y;01 - All the rows have to have the same number of columns.\nMake sure to select the correct delimiter and quote char. If the set quote char is an empty value, it will not recognize any other quote char inside the CSV file.;01 - All the rows have to have the same number of columns.\nMake sure to select the correct delimiter and quote char. If the set quote char is an empty value, it will not recognize any other quote char inside the CSV file.;01 – Todas as linhas precisam ter o mesmo número de colunas. Certifique-se de selecionar os delimitadores corretos. Se o delimitador de texto configurado é um valor vazio, ele não irá reconhecer qualquer outro delimitador dentro do arquivo CSV.
